Province;Kabupaten;Kecamatan;Kelurahan;latitude;longitude;Kodepos
SUMATERA BARAT;KOTA PADANG;PADANG SELATAN;MATO AIE;-0.9801467;100.3666326;25216
SUMATERA BARAT;KABUPATEN KEPULAUAN MENTAWAI;SIBERUT UTARA;MUARA SIKABALUAN;-1.0837939;98.8803925;25394
SUMATERA BARAT;KABUPATEN PESISIR SELATAN;PANCUNG SOAL;TLUK AMPLU INDRAPURA;-2.0475001;101.048549;25673
SUMATERA BARAT;KOTA PAYAKUMBUH;PAYAKUMBUH SELATAN;PADANG KARAMBIA;-0.2621263;100.6252859;26227
RIAU;KABUPATEN INDRAGIRI HILIR;PULAU BURUNG;RINGIN JAYA;0.4012798;103.4049445;29256
RIAU;KABUPATEN INDRAGIRI HULU;RAKIT KULIM;TALANG SUNGAI LIMAU;-0.5508625;102.2090224;29352
RIAU;KABUPATEN INDRAGIRI HULU;BATANG PERANAP;PUNTI KAYU;-0.7744788;101.8435568;29354
RIAU;KABUPATEN INDRAGIRI HULU;SUNGAI LALA;PERKEBUNAN SUNGAI PARIT;-0.4215803;102.2319048;29363
RIAU;KABUPATEN KUANTAN SINGINGI;KUANTAN HILIR SEBERANG;PENGALIAN;-0.5239944;101.7637775;29561
KEPULAUAN RIAU;KABUPATEN NATUNA;SERASAN;JERMALIK;2.5276599;109.0274877;29781
KEPULAUAN RIAU;KABUPATEN LINGGA;SINGKEP PESISIR;KOTE;-0.3765509;104.5130967;29871
SUMATERA SELATAN;KABUPATEN MUSI BANYUASIN;PLAKAT TINGGI;SUMBER REZEKI;-2.8943344;103.5899733;30758
SUMATERA SELATAN;KABUPATEN BANYU ASIN;TUNGKAL ILIR;SUKAMULYA UPT I K A ULU;-2.5580768;104.2163411;30959
SUMATERA SELATAN;KABUPATEN BANYU ASIN;PULAU RIMAU;BANJARSARI (AIR SENDA IV);-2.5749313;104.4257533;30959
SUMATERA SELATAN;KABUPATEN BANYU ASIN;PULAU RIMAU;WONOSARI UPT VII PR I;-2.5749313;104.4257533;30959
SUMATERA SELATAN;KABUPATEN BANYU ASIN;PULAU RIMAU;MAJATRA UPT VI PR I;-2.5749313;104.4257533;30959
SUMATERA SELATAN;KABUPATEN EMPAT LAWANG;TEBING TINGGI;PANCURMAS UNIT JAYA;-3.627175;103.0587399;31453
SUMATERA SELATAN;KABUPATEN OGAN KOMERING ULU SELATAN;KISAM TINGGI;BALAIAN;-4.3116064;103.7752634;32279
SUMATERA SELATAN;KABUPATEN OGAN KOMERING ULU TIMUR;BUAY MADANG;SUKARAJA TUHA;-4.23825;104.4956239;32361
SUMATERA SELATAN;KABUPATEN OGAN KOMERING ULU TIMUR;CEMPAKA;MALUAI INDAH;-3.7392751;104.705431;32384
LAMPUNG;KABUPATEN LAMPUNG TIMUR;SUKADANA;RANTAU JAYA UDIK;-5.055979;105.5708865;34194
LAMPUNG;KABUPATEN PESISIR BARAT;PESISIR SELATAN;PAGAR DALAM;-5.2532153;104.0769024;34875
BENGKULU;KABUPATEN BENGKULU SELATAN;KOTA MANNA;GUNUNG AYU;-4.4375425;102.9090191;38513
BENGKULU;KABUPATEN KAUR;KAUR UTARA;GURU AGUNG I;-4.4924873;103.2086442;38956
BENGKULU;KABUPATEN KAUR;LUNGKANG KULE;DATAR LEBAR I;-4.5672095;103.249034;38956
BANTEN;KABUPATEN LEBAK;MAJA;BUYUT MEKAR;-6.365542;106.3581527;42381
JAWA BARAT;KABUPATEN INDRAMAYU;JATIBARANG;JATIBARANG BARU;-6.4358706;108.3148665;45273
JAWA TENGAH;KABUPATEN DEMAK;GAJAH;SARI;-6.8897321;110.7480064;59581
JAWA TIMUR;KABUPATEN BANGKALAN;GEGER;TOGUBANG;-7.0056177;112.941626;69152
JAWA TIMUR;KABUPATEN BANGKALAN;SEPULU;TANAGURA BARAT;-6.924372;112.9654557;69154
JAWA TIMUR;KABUPATEN BANGKALAN;KWANYAR;KARANG ENTANG;-7.149665;112.870133;69163
JAWA TIMUR;KABUPATEN PAMEKASAN;TLANAKAN;MANGNGAR;-7.1995623;113.4418908;69371
KALIMANTAN TENGAH;KABUPATEN KAPUAS;KAPUAS HILIR;SEI PASAH;-2.9938484;114.4648609;73525
KALIMANTAN TENGAH;KABUPATEN KAPUAS;MANTANGAI;SEI KAPAR;-2.027801;114.2390498;73553
KALIMANTAN TENGAH;KABUPATEN KAPUAS;TAMBAN CATUR;TAMBAN MAKMUR;-3.2066704;114.405449;73583
KALIMANTAN TENGAH;KABUPATEN KAPUAS;TAMBAN CATUR;TAMBAN JAYA;-3.2066704;114.405449;73583
KALIMANTAN TENGAH;KABUPATEN KAPUAS;KAPUAS MURUNG;MANGGALA PERMAI;-2.7634804;114.5480227;73593
KALIMANTAN TENGAH;KABUPATEN BARITO UTARA;TEWEH TIMUR;BENANGIN I;-0.9907136;115.4259675;73881
KALIMANTAN TENGAH;KABUPATEN KOTAWARINGIN BARAT;PANGKALAN BANTENG;KEBUN AGUNG;-2.3932684;111.9045541;74183
KALIMANTAN TENGAH;KABUPATEN KAPUAS;KAPUAS HULU;SEI HANYU;-0.9328062;113.9060624;74581
KALIMANTAN TENGAH;KABUPATEN KAPUAS;MANDAU TALAWANG;SEI PINANG;-0.6534355;114.001226;74581
KALIMANTAN BARAT;KABUPATEN SANGGAU;KAPUAS;SEI ALAI;0.0349409;110.5692179;78514
KALIMANTAN BARAT;KABUPATEN KETAPANG;SUNGAI MELAYU RAYAK;SEI MELAYU;-1.8812926;110.4500422;78874
KALIMANTAN BARAT;KABUPATEN KETAPANG;SUNGAI MELAYU RAYAK;SEI MELAYU;-1.8812926;110.4500422;78874
KALIMANTAN BARAT;KABUPATEN KETAPANG;SUNGAI MELAYU RAYAK;SEI MELAYU;-1.8812926;110.4500422;78874
KALIMANTAN BARAT;KOTA SINGKAWANG;SINGKAWANG UTARA;SEI BULAN;0.9556428;109.0096562;79151
BALI;KABUPATEN KLUNGKUNG;KLUNGKUNG;SEMARAPURA KELOD KANGIN;-8.5388252;115.402367;80716
NUSA TENGGARA BARAT;KABUPATEN BIMA;SOROMANDI;KANANTA;-8.385336;118.6381471;84162
NUSA TENGGARA TIMUR;KABUPATEN ENDE;NANGAPANDA;NDORUREA I;-8.7572097;121.4684703;86352
NUSA TENGGARA TIMUR;KABUPATEN ENDE;NDONA;KEL. ONELAKO;-8.821731;121.7081454;86361
NUSA TENGGARA TIMUR;KABUPATEN ENDE;PULAU ENDE;REDORORI;-8.8924341;121.5198716;86362
NUSA TENGGARA TIMUR;KABUPATEN ENDE;WOLOWARU;TANA LOO;-8.7661591;121.8904136;86372
NUSA TENGGARA TIMUR;KABUPATEN NAGEKEO;AESESA SELATAN;RENDUTUTUBADHA;-8.6536468;121.2282958;86472
NUSA TENGGARA TIMUR;KABUPATEN MANGGARAI TIMUR;KOTA KOMBA;WATU PARI;-8.7248712;120.7579834;86572
NUSA TENGGARA TIMUR;KABUPATEN SUMBA BARAT DAYA;LOURA;LOKA KALADA;-9.4207916;119.3482646;87254
NUSA TENGGARA TIMUR;KABUPATEN SUMBA BARAT;LAMBOYA;SODANA;-9.6989586;119.3482646;87271
SULAWESI BARAT;KABUPATEN MAJENE;SENDANA;LEPPANGAN;-3.3680435;118.8829816;91452
SULAWESI BARAT;KABUPATEN MAMUJU;KALUMPANG;LASA';-2.5210627;119.5571677;91562
SULAWESI BARAT;KABUPATEN MAMUJU TENGAH;BUDONG-BUDONG;SALOGATTA;-2.1641738;119.2553229;91563
SULAWESI SELATAN;KABUPATEN SIDENRENG RAPPANG;DUAPITUE;KALOSI ALAU;-3.8903425;120.0087372;91681
SULAWESI SELATAN;KABUPATEN TANA TORAJA;REMBON;LEMBANG BURI;-3.1181997;119.7773461;91861
SULAWESI SELATAN;KABUPATEN TANA TORAJA;MENGKENDEK;KELURAHAN LEMO;-3.2271111;119.950926;91871
SULAWESI TENGGARA;KABUPATEN KOLAKA TIMUR;MOWEWE;PUUOSU;-3.962898;121.7081454;93571
SULAWESI TENGGARA;KABUPATEN BUTON UTARA;KULISUSU;SARAEA;-4.7563395;123.1801309;93672
SULAWESI TENGGARA;KABUPATEN BUTON UTARA;KULISUSU UTARA;LANOSANGIA;-4.5401179;123.1014056;93672
SULAWESI TENGGARA;KABUPATEN BUTON;WABULA;WABULA;-5.5790867;122.8422959;93754
SULAWESI TENGGARA;KABUPATEN KONAWE SELATAN;PALANGGA;SANGGI-SANGGI;-4.329274;122.3787597;93883
SULAWESI TENGGARA;KABUPATEN KOLAKA UTARA;TIWU;TANGGEAO;-3.3417916;120.9761599;93957
SULAWESI TENGAH;KABUPATEN DONGGALA;SIRENJA;TONDO S;-0.2435153;119.8583772;94354
SULAWESI TENGAH;KABUPATEN PARIGI MOUTONG;SIDOAN;SINTUVU RAYA;0.3120146;120.1185102;94475
SULAWESI TENGAH;KABUPATEN POSO;PAMONA TIMUR;OMPO DIDIRI;-1.8773081;120.7579834;94663
SULAWESI TENGAH;KABUPATEN BANGGAI;TOILI BARAT;MANTAWA;-1.5184089;122.1291843;94765
SULAWESI TENGAH;KABUPATEN BANGGAI;MANTOH;PONDAN;-1.0026585;123.2323846;94771
SULAWESI TENGAH;KABUPATEN BANGGAI;MASAMA;PADANGON;-0.8058663;123.1913722;94772
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW;BOLAANG TIMUR;BOLAANG;0.923424;124.1754442;95752
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW;LOLAK;DULANGON;0.7823261;124.0195827;95761
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW UTARA;BOLANG ITANG BARAT;LANGI;0.9037345;123.3107313;95764
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW;DUMOGA TIMUR;MOGOYUNGGUNG;0.6001833;124.097547;95772
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW;DUMOGA UTARA;MOPUGAD UTARA;0.6090894;123.9527031;95772
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW;DUMOGA UTARA;MOPUYA SELATAN;0.6090894;123.9527031;95772
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW;DUMOGA TENGAH;IBOLIAN;0.5593686;124.0279392;95773
SULAWESI UTARA;KABUPATEN BOLAANG MONGONDOW TIMUR;KOTABUNAN;BULAWAN;0.8554519;124.6192702;95782
SULAWESI UTARA;KABUPATEN KEPULAUAN TALAUD;BEO SELATAN;RUSSOH;4.1825062;126.7711774;95881
SULAWESI UTARA;KABUPATEN KEPULAUAN TALAUD;PULUTAN;PULUTAN UTARA;4.1143155;126.7927221;95882
